0,7
1,6
2,6
3,5
4,5
5,6
6,6
7,5
8,6
9,8
10,7
11,7
12,7
13,5
14,6
15,5
16,7
17,5
18,6
19,6
20,6
21,7
22,6
23,6
24,5
25,5
26,5
27,5
28,6
29,5
30,6
31,7
32,6
33,7
34,6
35,6
36,6
37,5
38,6
39,6
40,6
41,6
42,7
43,6
44,5
45,6
46,6
47,6
48,5
49,6
50,7
51,6
52,6
53,6
54,5
55,5
56,6
57,6
58,5
59,6
60,7
61,6
62,5
63,8
64,7
65,5
66,7
67,6
68,6
69,6
70,4
71,6
72,6
73,5
74,7
75,6
76,6
77,6
78,5
79,5
80,5
81,6
82,6
83,5
84,6
85,6
86,5
87,6
88,6
89,5
90,5
91,5
92,7
93,7
94,6
95,6
96,6
97,5
98,7
99,6
100,8
101,6
102,5
103,5
104,6
105,6
106,6
107,6
108,7
109,5
110,6
111,5
112,5
113,6
114,5
115,6
116,6
117,7
118,8
119,6
120,6
121,7
122,6
123,5
124,6
125,7
126,7
127,6
128,6
129,6
130,5
131,5
132,7
133,6
134,6
135,5
136,6
137,6
138,7
139,6
140,6
141,7
142,6
143,6
144,7
145,6
146,5
147,6
148,6
149,7
150,5
151,6
152,6
153,6
154,6
155,5
156,6
157,6
158,5
159,6
160,6
161,6
162,6
163,7
164,5
165,5
166,5
167,7
168,6
169,6
170,5
171,7
172,7
173,6
174,6
175,5
176,7
177,5
178,5
179,6
180,5
181,6
182,5
183,5
184,4
185,6
186,6
187,6
188,6
189,7
190,6
191,5
192,7
193,5
194,6
195,5
196,6
197,5
198,5
199,6
200,6
201,6
202,5
203,6
204,6
205,5
206,6
207,6
208,7
209,6
210,4
211,7
212,6
213,5
214,7
215,4
216,6
217,5
218,6
219,6
220,6
221,7
222,7
223,7
224,6
225,5
226,6
227,6
228,6
229,6
230,6
231,5
232,6
233,6
234,6
235,6
236,5
237,7
238,7
239,6
240,7
241,6
242,6
243,6
244,6
245,6
246,5
247,6
248,6
249,7
250,6
251,7
252,5
253,5
254,5
255,7
256,6
257,6
258,6
259,6
260,6
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,5
269,5
270,5
271,6
272,6
273,7
274,6
275,6
276,5
277,6
278,6
279,6
280,7
281,5
282,5
283,6
284,5
285,6
286,7
287,5
288,5
289,6
290,5
291,6
292,7
293,5
294,6
295,6
296,5
297,6
298,7
299,5
300,7
301,6
302,8
303,6
304,6
305,6
306,6
307,6
308,5
309,6
310,6
311,6
312,7
313,5
314,7
315,7
316,6
317,6
318,5
319,6
320,5
321,6
322,6
323,6
324,6
325,6
326,5
327,6
328,6
329,5
330,5
331,5
332,5
333,6
334,6
335,6
336,6
337,5
338,6
339,6
340,6
341,6
342,6
343,6
344,6
345,6
346,6
347,8
348,5
349,6
350,6
351,6
352,6
353,5
354,6
355,5
356,7
357,6
358,6
359,6
360,7
361,7
362,7
363,7
364,5
365,7
366,6
367,6
368,7
369,5
370,6
371,6
372,6
373,6
374,7
375,7
376,6
377,6
378,5
379,6
380,6
381,5
382,6
383,5
384,6
385,6
386,5
387,5
388,6
389,6
390,5
391,6
392,6
393,5
394,6
395,5
396,6
397,6
398,6
399,6
400,6
401,6
402,5
403,5
404,7
405,6
406,5
407,6
408,6
409,7
410,6
411,5
412,6
413,6
414,5
415,5
416,5
417,7
418,6
419,6
420,5
421,5
422,6
423,6
424,6
425,6
426,6
427,6
428,6
429,7
430,5
431,6
432,6
433,7
434,7
435,6
436,7
437,5
438,5
439,6
440,6
441,6
442,6
443,6
444,6
445,6
446,5
447,6
448,6
449,5
450,6
451,6
452,5
453,6
454,5
455,6
456,5
457,5
458,6
459,6
460,6
461,6
462,6
463,6
464,7
465,5
466,6
467,6
468,5
469,5
470,5
471,6
472,6
473,6
474,5
475,7
476,5
477,6
478,5
479,5
480,6
481,6
482,7
483,6
484,6
485,7
486,6
